Loc,HcR,EcR,HcL,EcL,GcR,GcL
1,43.6365036737351,-10.2143060593378,-47.6094035359172,14.4046932071834,33.4221976143973,-33.2047103287338
2,48.795803427109,-19.518972813398,-42.1799217372134,8.98478943624614,29.276830613711,-33.1951323009673
3,35.9307565996724,-5.4414810672883,-34.8717825753348,8.69257109505789,30.4892755323841,-26.1792114802769
4,45.8816695999313,-16.7923812027816,-26.7494956215659,-1.47926414405907,29.0892883971497,-28.228759765625
5,29.7432205303997,2.37030236899447,-37.3811267671131,9.08842540922619,32.1135228993941,-28.2927013578869
6,5.86745630988676,26.4960631260888,-34.5944774394133,-2.31497628348214,32.3635194359756,-36.9094537228954
7,14.2075033748851,16.4413452148438,-34.1316930632245,6.85861534940868,30.6488485897289,-27.2730777138158
8,15.9139827806122,5.31784369021046,-24.1571543168048,-2.77661026045463,21.2318264708227,-26.9337645772595
9,4.22185781050702,21.3940938313802,-43.3428875811688,15.3982130627464,25.6159516418872,-27.9446745184224
10,2.20579259535846,28.1484587853696,-47.966582434518,15.5844007219587,30.3542513807281,-32.3821817125593
11,33.2663399832589,1.91225324358259,-80.6540352957589,2.19682965959822,35.1785932268415,-78.4572056361607
