Loc,n,HL,HR,EL,ER,HLstd,HRstd,ELstd,ERstd
nov 01 stim,12,17,21,22,32,3,4.43846820423443,3.909694909544,35.4076262971694
nov 05 stim,66,14,19,14,27,3.88055564593682,8.19888859501996,22.0946226146737,29.1148829860318
nov 06 stim,41,15,18,15,23,2.47597148259197,3.5392292650872,8.46008998354298,8.24779629906375
nov 07 stim,64,19,33,21,34,5.334005334008,28.0094838009503,23.8531926246173,17.9646606496773
nov 08 stim,128,13,16,16,22,3.23471789790205,5.76016096914416,7.81456672602823,166.505274372501
nov 09 stim,84,13,18,18,33,4.67629621482632,5.61338587753425,33.0393173541475,35.2742215657654
nov 12 stim,106,13,20,13,30,3.05868526585452,3.42140481804795,22.1519089630458,17.9277389856226
nov 13 stim,79,16,20,17,27,1.67742814516337,2.81791071234098,104.120557136204,16.2975868162249
nov 21 stim,146,14,19,12,24,2.36052009901306,1.92304051317737,14.8470269928466,5.93979138952085
nov 26 stim,135,14,18,13,22,2.21451847398283,2.03006252272038,18.9981602734749,8.95528421573628
oct 31 stim,19,26,37,36,45,17.0645832061612,60.2948814350997,17.2249818577553,20.2995745589095
